"team_id","name"
"2258","Arkadia Traiskirchen Lions"
"2259","Raiffeisen Fürstenfeld Panthers"
"2260","magnofit Güssing Knights"
"2261","Redwell Gunners Oberwart"
"2262","Allianz Swans Gmunden"
"2263","Chin Min Dragons St. Pölten"
"2264","yourgoody dukes Klosterneuburg"
"2265","BC Zepter Vienna"
"2266","UBSC Raiffeisen Graz"
"2267","ece bulls Kapfenberg"
"2268","WBC Raiffeisen Wels"
"2376","Mattersburg Rocks"
"20728","Vienna D.C. Timberwolves"
